batch_kode,tanggal,jenis,lokasi,pelaku,keterangan
IND-2024-001,2024-01-10,PENEBARAN,Tambak Aman Jaya Kolam 1,Owner Aman Jaya,Penebaran benur 200000 ekor
IND-2024-001,2024-04-20,PANEN,Tambak Aman Jaya Kolam 1,Owner Aman Jaya,Panen pertama
IND-2024-001,2024-04-22,DARI_TAMBAK,Cold storage Indramayu,PT Indramayu Sejahtera,Batch dibuat di cold storage
IND-2024-001,2024-04-25,UJI_LAB,Lab Jakarta Utara,Lab Jakarta Utara,Uji Cs137
IND-2024-001,2024-04-30,SIAP_EKSPOR,Pelabuhan Tanjung Priok,Eksportir Nusantara,Siap dimuat ke kontainer
IND-2024-001,2024-05-02,DIEKSPOR,Pelabuhan Tanjung Priok,Shipping Line ABC,Berangkat menuju Jepang
IND-2024-002,2024-03-01,PENEBARAN,Tambak Aman Jaya Kolam 2,Owner Aman Jaya,Penebaran benur 150000 ekor
IND-2024-002,2024-06-15,PANEN,Tambak Aman Jaya Kolam 2,Owner Aman Jaya,Panen kedua
IND-2024-002,2024-06-18,UJI_LAB,Lab Indramayu,Lab Indramayu,Uji Cs137
PAC-2024-001,2024-02-05,PENEBARAN,Tambak Laut Biru Kolam 1,Owner Laut Biru,Penebaran benih bandeng
PAC-2024-001,2024-05-25,PANEN,Tambak Laut Biru Kolam 1,Owner Laut Biru,Panen bandeng
PAC-2024-001,2024-05-28,DARI_TAMBAK,Cold storage Pacitan,PT Pacitan Makmur,Batch dikirim ke cold storage
SBY-2024-001,2024-02-15,PENEBARAN,Tambak Delta Sidoarjo Kolam 1,Owner Delta,Penebaran benur
SBY-2024-001,2024-06-01,PANEN,Tambak Delta Sidoarjo Kolam 1,Owner Delta,Panen udang
SBY-2024-001,2024-06-04,UJI_LAB,Lab Surabaya Timur,Lab Surabaya Timur,Uji Cs137
